City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
610,Mogadishu,SO,76.05,light rain,2.04,45.34,Hotel Juba
613,Sabang,ID,83.57,broken clouds,5.89,95.32,Hotel Citra
614,Marsaxlokk,MT,79.09,clear sky,35.84,14.54,Water's Edge
615,Korla,CN,89.37,clear sky,41.76,86.15,Gulisitan Hotel
618,Surt,LY,78.3,clear sky,31.21,16.59,الهادي ابوشعاله سرت
619,Cape Canaveral,US,82.38,clear sky,28.41,-80.6,Residence Inn by Marriott Cape Canaveral Cocoa Beach
620,Anlu,CN,86.31,clear sky,31.17,112.58,Thank Inn Plus Hotel Hubei Jingmen Zhongxiang Wenfeng Road
624,Mahibadhoo,MV,82.22,broken clouds,3.78,72.97,Omadhoo Inn
625,Khash,IR,80.53,overcast clouds,28.22,61.22,دفتر پیشخوان دولت جمال زهی (خالد)
627,Wakkanai,JP,75.18,few clouds,45.41,141.67,Hyōsetsu-sō
628,Kailua,US,87.78,scattered clouds,21.4,-157.74,Sheffield House Bed & Breakfast
632,Yinchuan,CN,83.93,scattered clouds,38.47,106.27,JJ Inns - Yinchuan New Moon Square Branch
633,Virginia Beach,US,75.25,moderate rain,36.85,-75.98,Hilton Virginia Beach Oceanfront
640,Nantucket,US,75.99,fog,41.28,-70.1,Jared Coffin House
644,Russell,US,85.51,broken clouds,32.35,-85.2,Macs
649,Waseca,US,81.91,clear sky,44.08,-93.51,American Motel
650,Isangel,VU,78.91,broken clouds,-19.55,169.27,Tanna Lodge
657,Lakshmipur,BD,82.36,overcast clouds,22.95,90.83,Khalekgonjo Sufi Rowson Ali Dakhil Madrasha
660,Barmer,IN,81.46,overcast clouds,25.75,71.38,OYO 71911 Hotel Amber Palace
661,Sapulpa,US,83.75,moderate rain,36.0,-96.11,Super 8 by Wyndham Sapulpa/Tulsa Area
662,Shieli,KZ,80.65,clear sky,44.17,66.75,Gostinitsa Aybek Shieli
666,Aswan,EG,85.3,clear sky,24.09,32.91,Nuba Nile
668,Springfield,US,84.06,clear sky,37.22,-93.3,Best Western Route 66 Rail Haven
669,Mexico,PH,86.02,overcast clouds,15.06,120.72,stone place
670,Bloomfield,US,83.84,haze,40.81,-74.19,Howard Johnson by Wyndham Clifton NJ
671,Santa Rosa,PH,86.86,broken clouds,14.31,121.11,Erlyn’s Sta Rosa City Home
672,Nabire,ID,86.68,broken clouds,-3.37,135.48,Hotel Nusantara Nabire
674,Ayorou,NE,86.27,overcast clouds,14.73,0.92,Hotel Amenokal
676,Pouebo,NC,75.6,broken clouds,-20.4,164.57,RIVÂT LODGE
677,Kollam,IN,78.67,overcast clouds,8.88,76.6,Nani Hotels and Resorts
678,Tsurugi,JP,84.18,light rain,36.45,136.63,和田屋 岩魚・鮎・山菜料理
681,Terra Santa,BR,76.66,broken clouds,-2.1,-56.49,Igreja da paz
682,Male,MV,82.35,broken clouds,4.17,73.51,Hotel Octave Maldives
683,Shu,KZ,78.87,clear sky,43.6,73.76,Shyngyzkhan
684,Waycross,US,81.32,broken clouds,31.21,-82.35,Super 8 by Wyndham Waycross GA
685,Mangrol,IN,81.97,overcast clouds,21.12,70.12,Hotel The Royal Honours
