City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
211,Vila Franca Do Campo,PT,37.72,-25.43,70.21,91,95,5.08,overcast clouds
212,Sao Joao Da Barra,BR,-21.64,-41.05,70.54,84,0,14.9,clear sky
213,Coquimbo,CL,-29.95,-71.34,53.33,87,0,4.61,clear sky
214,Goderich,CA,43.75,-81.72,70.92,78,0,2.3,clear sky
215,Nanortalik,GL,60.14,-45.24,44.46,92,55,12.19,broken clouds
216,Bam,IR,29.11,58.36,87.66,16,95,18.07,overcast clouds
217,Lebu,CL,-37.62,-73.65,45.23,78,51,15.88,broken clouds
218,San Carlos,VE,9.66,-68.58,73.53,95,100,1.72,overcast clouds
219,Contamana,PE,-7.33,-75.02,76.86,71,14,2.24,few clouds
220,Chokurdakh,RU,70.63,147.92,44.26,65,100,12.82,overcast clouds
221,Baykit,RU,61.67,96.37,81.88,39,1,7.63,clear sky
222,Arklow,IE,52.79,-6.14,61.12,91,100,2.21,overcast clouds
223,Pokhara,NP,28.23,83.98,75.81,90,92,1.28,overcast clouds
224,Sarakhs,IR,36.54,61.16,84.34,34,0,4.61,clear sky
225,Ulladulla,AU,-35.35,150.47,69.87,44,1,12.93,clear sky
226,Pandan,PH,14.05,124.17,87.26,69,100,15.08,overcast clouds
227,Havre,FR,49.58,0.33,63.45,94,90,11.5,overcast clouds
228,Abu Dhabi,AE,24.47,54.37,95.11,49,0,2.3,clear sky
229,Santa Isabel,BR,-23.32,-46.22,71.38,50,0,3.62,clear sky
230,Kirkwall,GB,58.98,-2.96,57.54,94,90,6.91,mist
231,Iranshahr,IR,27.20,60.68,91.27,27,85,4.18,overcast clouds
232,Mugan,CN,35.94,101.38,62.82,62,18,2.73,few clouds
233,Kutum,SD,14.20,24.67,67.75,79,100,8.28,overcast clouds
234,Zhezkazgan,KZ,47.80,67.71,66.72,34,0,12.03,clear sky
235,Kimberley,ZA,-28.73,24.76,40.69,56,0,8.05,clear sky
236,Matao,BR,-21.60,-48.37,63.68,37,0,7.25,clear sky
237,Padang,ID,-0.95,100.35,82.45,74,5,1.79,clear sky
238,Inta,RU,66.03,60.17,44.28,94,100,7.23,overcast clouds
239,Tchibanga,GA,-2.85,11.03,66.63,93,84,2.53,broken clouds
240,Urumqi,CN,43.80,87.60,85.15,19,0,13.42,clear sky
241,Berlevag,NO,70.86,29.09,47.39,83,45,2.95,scattered clouds
242,Canoa,DO,18.36,-71.16,79.45,82,100,2.21,overcast clouds
243,Chenzhou,CN,25.80,113.03,88.7,54,99,5.23,light rain
244,Xuanwu,CN,32.07,118.81,78.75,97,100,15.88,light rain
245,Te Anau,NZ,-45.42,167.72,48.43,72,41,5.86,scattered clouds
246,Geraldton,AU,-28.77,114.60,65.12,67,75,21.85,broken clouds
247,Puerto Carreno,CO,6.19,-67.49,73.74,89,100,3.89,moderate rain
248,Mwanza,TZ,-2.52,32.90,66.25,45,0,17.27,clear sky
249,Shugurovo,RU,54.51,52.13,57.22,69,6,4.88,clear sky
250,Grindavik,IS,63.84,-22.43,49.95,93,90,11.5,light rain
251,Amga,RU,60.90,131.96,84.24,42,7,11.1,clear sky
252,Hamilton,US,39.18,-84.53,78.22,68,1,0,clear sky
253,Lagoa,PT,39.05,-27.98,70.65,87,100,11.59,overcast clouds
254,Poya,NC,-21.35,165.15,76.91,43,3,8.01,clear sky
255,San Cristobal,VE,7.77,-72.23,73.58,94,99,2.24,overcast clouds
